No.,Layer (대분류),Category (중분류),Sub-category (소분류),회사명,구분,상장여부,HQ지역,Company Mission,한줄 설명 (비고),중요도
287,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,Orchestration,Anyscale,Orchestration,비상장,미국,Scale AI applications with Ray,"Ray 프레임워크 상용화, 대규모 분산 연산 핵심",High
288,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,Serverless,Modal,Serverless,비상장,미국,Serverless GPU compute,서버리스 GPU 연산 및 데이터 처리 인프라,Medium
289,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,Serverless,Baseten,Serverless,비상장,미국,Deploy AI models at scale,고성능 AI 애플리케이션 배포 및 호스팅,Medium
290,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,GPU Cloud,Fluidstack,GPU Cloud,비상장,영국,Aggregated GPU cloud,유휴 GPU 자원 통합 대여 및 고성능 연산 제공,Low
291,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,DePIN/GPU,io.net,DePIN/GPU,상장(T),미국,Decentralized GPU network,솔라나 기반 세계 최대 분산 GPU 네트워크,Medium
292,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,DePIN/Cloud,Akash Network,DePIN/Cloud,상장(T),미국,Open-source compute marketplace,블록체인 기반 오픈 소스 컴퓨팅 마켓,Low
293,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,DePIN/GPU,Aethir,DePIN/GPU,상장(T),싱가포르,Enterprise decentralized GPU,엔터프라이즈급 분산 GPU 렌더링/추론 서비스,Low
294,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,DePIN/GPU,Render Network,DePIN/GPU,상장(T),미국,Distributed GPU rendering,유휴 자원 활용 렌더링 및 AI 연산 공유,Low
295,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,ISP,DeepSeek,ISP,비상장,중국,Unravel the mystery of AGI,극강의 효율성 모델 개발 및 자체 ISP 운영,High
296,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,ISP,SiliconFlow,ISP,비상장,중국,One-stop AI inference platform,원스톱 AI 추론 및 파인튜닝 플랫폼,Medium
297,C. Operations & Cloud,C2. Hyperscaler & GPU Cloud,GPU Cloud/DePIN,Spheron,GPU Cloud/DePIN,비상장,미국,Decentralized GPU cloud,베어메탈 GPU 풀링 및 웹3 결제 기반 클라우드,Low
298,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Data/MLOps,Databricks,Data/MLOps,비상장,미국,Democratize data and AI,"레이크하우스 플랫폼, Mosaic ML 인수, AI 데이터 통합",High
299,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Data Cloud,Snowflake,Data Cloud,상장,미국,Mobilize the world's data,"클라우드 데이터 웨어하우스, Cortex AI 통합",High
300,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Database,MongoDB,Database,상장,미국,Build faster. Build smarter,AI 앱용 문서 DB 및 벡터 검색 기능 통합,High
301,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Data Streaming,Confluent,Data Streaming,상장,미국,Data in motion,Apache Kafka 기반 실시간 데이터 스트리밍,Medium
302,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Data Integration,Fivetran,Data Integration,비상장,미국,Automated data movement,자동화 데이터 파이프라인 및 ETL 리더,Medium
303,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Data Transform,dbt Labs,Data Transform,비상장,미국,Transform data in your warehouse,데이터 변환 및 분석 엔지니어링 표준 도구,Medium
304,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,MLOps,Weights & Biases,MLOps,인수(CoreWeave),미국,Developer tools for ML,"ML 실험 추적/모델 관리, CoreWeave $1.7B 인수",High
305,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Model Hub,Hugging Face,Model Hub,비상장,미국/프랑스,The AI community building the future,"AI 모델 허브 및 오픈소스 에코시스템 중심, $4.5B",High
306,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,MLOps,Comet ML,MLOps,비상장,미국,ML experiment management,ML 실험 추적 및 모델 프로덕션 관리,Medium
307,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Model Serving,BentoML,Model Serving,비상장,미국,Build and deploy AI applications,ML 모델 서빙 및 배포 자동화 프레임워크,Medium
308,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Feature Store,Tecton,Feature Store,비상장,미국,Real-time ML features,실시간 ML 피처 스토어 및 데이터 파이프라인,Medium
309,D. AI Platform & Data Infra,D1. Data Infrastructure & MLOps,Model Deploy,Seldon,Model Deploy,비상장,영국,ML deployment on Kubernetes,쿠버네티스 기반 ML 모델 배포 및 모니터링,Low
310,D. AI Platform & Data Infra,D2. Vector DB & AI-Native Data,Vector DB,Pinecone,Vector DB,비상장,미국,Vector database for AI applications,"벡터 데이터베이스 1위, RAG 인프라 핵심, $130M+ 유치",High
311,D. AI Platform & Data Infra,D2. Vector DB & AI-Native Data,Vector DB,Weaviate,Vector DB,비상장,네덜란드,Open-source vector database,"오픈소스 벡터 DB, 시맨틱 검색 최적화",High
312,D. AI Platform & Data Infra,D2. Vector DB & AI-Native Data,Vector DB,Qdrant,Vector DB,비상장,독일,High-performance vector search,고성능 Rust 기반 벡터 유사도 검색 엔진,Medium
313,D. AI Platform & Data Infra,D2. Vector DB & AI-Native Data,Vector DB,Milvus (Zilliz),Vector DB,비상장,미국/중국,Scalable open-source vector DB,대규모 벡터 검색 오픈소스 DB,High
314,D. AI Platform & Data Infra,D2. Vector DB & AI-Native Data,Vector DB,Chroma,Vector DB,비상장,미국,AI-native embedding database,"경량 오픈소스 벡터 DB, AI 앱 임베딩 저장",Medium
315,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Data Labeling,Scale AI,Data Labeling,비상장,미국,Accelerate the development of AI,"AI 데이터 라벨링/RLHF 1위, $29B+ 기업가치 (Meta 49%)",High
316,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Data Labeling,Labelbox,Data Labeling,비상장,미국,Training data platform for AI,"AI 학습 데이터 라벨링, 80%+ 미국 top AI 연구소",High
317,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Data Labeling,Appen,Data Labeling,상장,호주,Reliable AI training data,글로벌 AI 학습 데이터 수집 및 어노테이션,Medium
318,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Data-Centric,Snorkel AI,Data-Centric,비상장,미국,Programmatic data development,"프로그래매틱 데이터 라벨링, $1.3B 기업가치",High
319,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Synthetic Data,Gretel AI,Synthetic Data,인수(NVIDIA),미국,Synthetic data for safe AI,"NVIDIA 2025년 3월 인수, 합성 데이터 생성",High
320,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Data Labeling,Surge AI,Data Labeling,비상장,미국,High-quality AI training data,고품질 AI 학습 데이터 및 RLHF 라벨링,Medium
321,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Annotation,V7 Labs,Annotation,비상장,영국,AI-assisted data annotation,AI 보조 어노테이션 플랫폼,Medium
322,D. AI Platform & Data Infra,D3. Data Labeling & Synthetic Data,Synthetic Data,Tonic AI,Synthetic Data,비상장,미국,Synthetic test data for developers,"합성 테스트 데이터 생성, $46.7M 유치",Medium
323,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,LLM Framework,LangChain,LLM Framework,비상장,미국,Build context-aware AI applications,"LLM 앱 개발 표준 프레임워크, 80K+ GitHub stars, $1.25B",High
324,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,RAG Framework,LlamaIndex,RAG Framework,비상장,미국,Data framework for LLM applications,데이터 인덱싱 및 RAG 구현 최적화 도구,High
325,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,RAG Pipeline,Haystack (deepset),RAG Pipeline,비상장,독일,Build NLP pipelines,산업용 RAG 파이프라인 프레임워크,Medium
326,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,LLM Router,Unify,LLM Router,비상장,영국,Optimal LLM routing API,여러 ISP 중 비용/성능 최적 경로 추천 API,Medium
327,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,LLM DevOps,Vellum,LLM DevOps,비상장,미국,AI product development platform,LLM 프롬프트 관리 및 평가 플랫폼,Low
328,D. AI Platform & Data Infra,D4. LLM Middleware & Frameworks,AI Gateway,Portkey,AI Gateway,비상장,인도/미국,AI gateway and observability,LLM API 게이트웨이 및 가시성 플랫폼,Low
329,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/AGI,OpenAI,LLM/AGI,비상장,미국,Ensure AGI benefits all of humanity,"GPT-4o/o3, ChatGPT, DALL-E, Sora 등 생성형 AI 선두, $840B",High
330,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Safety,Anthropic,LLM/Safety,비상장,미국,AI safety and research,"Claude 시리즈, 안전한 AI 개발 리더",High
331,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Research,Google DeepMind,LLM/Research,상장(모회사),영국/미국,Solve intelligence to advance science,"Gemini 모델, AlphaFold 등 AI 연구 최전선",High
332,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Open,Meta AI (FAIR),LLM/Open,상장(모회사),미국,Build the future of human connection,"Llama 오픈소스 모델, 메타버스/AI 연구",High
333,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Open,Mistral AI,LLM/Open,비상장,프랑스,Open and portable generative AI,"유럽 AI 모델 주권 상징, 고성능 오픈 LLM",High
334,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Enterprise,Cohere,LLM/Enterprise,비상장,캐나다,Enterprise AI that means business,엔터프라이즈 전용 LLM 및 RAG 플랫폼,High
335,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM,xAI,LLM,비상장,미국,Understand the true nature of the universe,"Elon Musk 설립, Grok 모델 및 Colossus 클러스터",High
336,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Enterprise,AI21 Labs,LLM/Enterprise,비상장,이스라엘,AI for the enterprise,"Jamba 모델, 엔터프라이즈 언어 AI 플랫폼",Medium
337,E. Foundation Models & Generation,E1. Foundation Models & LLM,Generative,Stability AI,Generative,비상장,영국,"AI by the people, for the people",Stable Diffusion 오픈소스 이미지 생성 모델,Medium
338,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM/Sovereign,Aleph Alpha,LLM/Sovereign,비상장,독일,European sovereign AI,"유럽 소버린 AI, PhariaAI 플랫폼",Medium
339,E. Foundation Models & Generation,E1. Foundation Models & LLM,Multimodal,Reka AI,Multimodal,비상장,미국/영국,Multimodal AI models,"멀티모달 LLM, 비디오/오디오 이해 특화",Medium
340,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM,Inflection AI,LLM,비상장,미국,Personal AI for everyone,Pi 개인 AI 어시스턴트 (MS 인재 이동),Medium
341,E. Foundation Models & Generation,E1. Foundation Models & LLM,Conversational,Character.ai,Conversational,비상장,미국,Personalized AI for everyone,"캐릭터 기반 대화형 AI, 20M MAU",Medium
342,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM,Naver (HyperCLOVA X),LLM,상장,한국,Connect everything and everyone,"한국어 최적화 LLM, B2B/B2C AI 서비스",Medium
343,E. Foundation Models & Generation,E1. Foundation Models & LLM,LLM,LG AI Research,LLM,상장(모회사),한국,AI for a better life,EXAONE 멀티모달 AI 모델 개발,Medium
344,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Video Gen,Runway,Video Gen,비상장,미국,Advancing creativity with AI,"Gen-3 Alpha 비디오 생성 모델 선두, $545M 유치",High
345,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Image Gen,Midjourney,Image Gen,비상장,미국,Exploring new mediums of thought,"텍스트-투-이미지 생성 AI 시장 선두, $10.5B",High
346,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Avatar Video,Synthesia,Avatar Video,비상장,영국,AI video communications platform,"230+ AI 아바타, 140+ 언어, 기업 교육/마케팅",High
347,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Avatar Video,HeyGen,Avatar Video,비상장,미국,AI-powered video creation,"사실적 아바타, 음성 복제, 4K 립싱크",High
348,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Video Gen,Pika,Video Gen,비상장,미국,Make videos with AI,"AI 비디오 생성 및 편집, Forbes AI 50",High
349,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Music Gen,Suno,Music Gen,비상장,미국,Make any song you can imagine,"AI 음악 생성 플랫폼, 텍스트-투-뮤직",High
350,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Music Gen,Udio,Music Gen,비상장,미국,Create music with AI,고품질 AI 음악 생성 및 작곡 도구,Medium
351,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Image Gen,Black Forest Labs,Image Gen,비상장,독일,Open generative AI models,FLUX 모델 기반 고품질 이미지 생성,Medium
352,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Image Gen,Ideogram,Image Gen,비상장,캐나다,Creative AI for everyone,텍스트 렌더링 특화 이미지 생성 AI,Medium
353,E. Foundation Models & Generation,E2. AI Video & Creative Generation,3D/Video,Luma AI,3D/Video,비상장,미국,Multimodal AI for 3D and video,Dream Machine 비디오/3D 생성 AI,Medium
354,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Image/App,Photoroom,Image/App,비상장,프랑스,AI photo editor for commerce,"AI 기반 상업용 이미지 자동 편집, Forbes AI 50",Medium
355,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Creative Suite,Adobe Firefly,Creative Suite,상장,미국,Creativity for all,생성형 AI 기반 Creative Cloud 통합,High
356,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Design,Canva AI,Design,비상장,호주,Empowering the world to design,"Magic Studio, 190M+ 사용자, $26B 기업가치",High
357,E. Foundation Models & Generation,E2. AI Video & Creative Generation,Enterprise Creative,Typeface AI,Enterprise Creative,비상장,미국,Enterprise content at the speed of AI,"전 Adobe CTO 설립, 브랜드 맞춤 AI 콘텐츠",Medium
358,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Synthesis,ElevenLabs,Voice Synthesis,비상장,영국/미국,Make content universally accessible,"고품질 음성 합성 리더, $330M ARR, $11B 기업가치",High
359,E. Foundation Models & Generation,E3. AI Voice & Audio,Speech-to-Text,Deepgram,Speech-to-Text,비상장,미국,Building the future of speech AI,"엔터프라이즈 음성 AI, Nova-3, $1.3B 기업가치",High
360,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Platform,SoundHound AI,Voice Platform,상장,미국,Harnessing the power of voice,"브랜드용 음성 AI, $157-177M 매출 가이던스",High
361,E. Foundation Models & Generation,E3. AI Voice & Audio,Speech-to-Text,AssemblyAI,Speech-to-Text,비상장,미국,Build with the best speech AI,"개발자 중심 STT API, Universal-2 모델",High
362,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Infra,Vapi,Voice Infra,비상장,미국,Voice AI infrastructure for developers,"AI 에이전트용 음성 API, Twilio for AI agents",High
363,E. Foundation Models & Generation,E3. AI Voice & Audio,Translation,DeepL,Translation,비상장,독일,Break down language barriers,"세계 최고 수준 독자 번역 AI, $400M+ 유치",High
364,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Cloning,Resemble AI,Voice Cloning,비상장,캐나다,Real-time voice generation,"음성 생성/복제 및 실시간 변환, $15M+ 유치",Medium
365,E. Foundation Models & Generation,E3. AI Voice & Audio,Fast TTS,LMNT,Fast TTS,비상장,미국,Expressive text-to-speech,"초고속 감성 표현 TTS, 개발자 중심",Medium
366,E. Foundation Models & Generation,E3. AI Voice & Audio,Noise AI,Krisp,Noise AI,비상장,아르메니아/미국,AI-powered noise cancellation,"AI 노이즈 캔슬링, 억양 변환, 수십억 분 처리",Medium
367,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Agent,Retell AI,Voice Agent,비상장,미국,Build production-ready voice agents,"실시간 음성 에이전트 플랫폼, SOC2/HIPAA",Medium
368,E. Foundation Models & Generation,E3. AI Voice & Audio,Voice Agent,Bland AI,Voice Agent,비상장,미국,AI phone calling at scale,"자체 STT/LLM/TTS 통합, 초저지연 음성 에이전트",Medium
369,E. Foundation Models & Generation,E3. AI Voice & Audio,Empathic Voice,Hume AI,Empathic Voice,비상장,미국,AI with emotional intelligence,"감성 인식 음성 AI, 독보적 포지셔닝, $50M+",Medium
370,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,AI-Native IDE,Anysphere (Cursor),AI-Native IDE,비상장,미국,Build software faster with AI,"AI 코딩 에디터 리더, $1B+ ARR, $29.3B 기업가치",High
371,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Autonomous Agent,Cognition (Devin),Autonomous Agent,비상장,미국,Build the future of AI software engineering,"자율 코딩 에이전트, Windsurf 인수, $10.2B 기업가치",High
372,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Assistant,GitHub Copilot,Code Assistant,상장(MS),미국,Your AI pair programmer,"20M+ 사용자, 77K+ 기업, $1B+ ARR, Gartner MQ 리더",High
373,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,AI IDE,Replit,AI IDE,비상장,미국,Build software without barriers,"브라우저 기반 AI IDE, 150K+ 유료, $3B 기업가치",High
374,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Vibe Coding,Lovable,Vibe Coding,비상장,스웨덴,Build software with natural language,"AI 풀스택 앱 빌더, $200M+ ARR, $6.6B 기업가치",High
375,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Vibe Coding,StackBlitz / Bolt.new,Vibe Coding,비상장,미국,Build full-stack apps in the browser,"브라우저 AI 앱 빌더, 2개월 만에 $20M ARR",High
376,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code LLM,Poolside AI,Code LLM,비상장,미국,AI built for code,"코드 전용 파운데이션 모델, $12B 타겟, $626M 유치",High
377,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code LLM,Magic AI,Code LLM,비상장,미국,Code-specific AI models,"코드 전용 모델, 100M 토큰 컨텍스트, $466M 유치",High
378,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,CLI Agent,Claude Code (Anthropic),CLI Agent,비상장,미국,Agentic coding from the terminal,"CLI 코딩 에이전트, 출시 수개월 내 $500M+ 런레이트",High
379,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Coding Agent,OpenAI Codex,Coding Agent,비상장,미국,AI agent for software engineering,VS Code/JetBrains용 SW 엔지니어링 에이전트,High
380,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Enterprise Code,Augment Code,Enterprise Code,비상장,미국,AI for complex codebases,"대규모/레거시 코드베이스 전문, $977M 기업가치",Medium
381,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,UI Generation,Vercel v0,UI Generation,비상장,미국,AI-powered UI generation,"AI React/Tailwind UI 생성, Vercel ($9.3B)의 제품",Medium
382,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Assistant,Amazon Q Developer,Code Assistant,상장,미국,AI-powered development companion,AWS 통합 AI 코딩 어시스턴트,High
383,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Intelligence,Sourcegraph (Cody),Code Intelligence,비상장,미국,Code intelligence platform,"코드 검색 및 AI 어시스턴트, $2.6B 기업가치",Medium
384,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Quality,Qodo (Codium AI),Code Quality,비상장,이스라엘,AI code quality and testing,"AI 코드 품질/테스팅, 멀티에이전트 아키텍처",Medium
385,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Completion,Tabnine,Code Completion,비상장,이스라엘,Privacy-first AI code assistant,"프라이버시 우선 AI 코드 완성, 에어갭/온프레미스",Medium
386,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,OSS Coding Agent,Cline,OSS Coding Agent,오픈소스,미국,Open-source VS Code AI agent,"오픈소스 VS Code AI 에이전트, 30K+ stars, 5M+ 개발자",Medium
387,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,IDE AI Agent,JetBrains (Junie),IDE AI Agent,비상장,체코,AI across JetBrains IDEs,8개 JetBrains IDE의 AI 코딩 에이전트,Medium
388,F. AI Developer Tools & Agents,F1. AI Coding Agents & IDE,Code Assistant,Codestral (Mistral),Code Assistant,비상장,프랑스,Code-optimized language model,Mistral의 코드 전용 모델,Medium
389,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Agent Platform,Sierra,Agent Platform,비상장,미국,Elevating the customer experience with AI,"Bret Taylor 설립, $150M ARR, $10B 기업가치",High
390,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Multi-Agent,CrewAI,Multi-Agent,비상장,미국,Multi-agent orchestration framework,"역할 기반 멀티에이전트, 43K+ stars, Fortune 500 60%",High
391,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,AI Orchestration,Airia,AI Orchestration,비상장,미국,Enterprise AI orchestration and governance,"엔터프라이즈 AI 오케스트레이션, 300+ 기업, $100M 유치",High
392,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,General Agent,Manus AI,General Agent,인수(Meta),싱가포르,Autonomous multi-step task agent,"범용 자율 에이전트, Meta $2B+ 인수 (2025.12)",High
393,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Agent Sandbox,E2B,Agent Sandbox,비상장,미국,Cloud sandbox for AI agents,"AI 에이전트용 클라우드 샌드박스, Perplexity/HF 사용",Medium
394,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Tool Integration,Composio,Tool Integration,비상장,미국,"3,000+ app integrations for AI agents","AI 에이전트 툴 통합, 200+ 고객, $29M 유치",Medium
395,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Memory Agents,Letta (MemGPT),Memory Agents,비상장,미국,Agents with persistent memory,"영속 메모리 에이전트 플랫폼, $10M 시드",Medium
396,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,No-Code Agent,Lindy AI,No-Code Agent,비상장,미국,No-code AI agent builder,"노코드 에이전트 빌더, 1,600+ 앱 통합",Medium
397,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Agent OS,Relevance AI,Agent OS,비상장,호주,Build teams of AI agents,"에이전트 OS, 40K 에이전트/월, $37M 유치",Medium
398,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,AI Employees,Ema,AI Employees,비상장,미국,Universal AI employees for enterprise,"엔터프라이즈 AI 직원, CX/영업/마케팅, $61M 유치",Medium
399,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Process Agent,Maisa AI,Process Agent,비상장,스페인,Agentic process automation,"규제 산업용 AI 에이전트, Gartner 선정",Medium
400,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,OSS Agent,AutoGPT,OSS Agent,오픈소스,커뮤니티,Open-source autonomous agent,"선구적 오픈소스 자율 에이전트, 160K+ stars",Medium
401,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Prof Services,Ravical,Prof Services,비상장,벨기에,AI agents for expert firms,"회계/세무/법률/HR용 AI 에이전트, 프리시드",Low
402,F. AI Developer Tools & Agents,F2. AI Agent Infra & Orchestration,Workflow Agent,Thunk.AI,Workflow Agent,비상장,미국,No-code AI agent platform,"노코드 AI 에이전트, 99% 신뢰성, 초기 단계",Low
403,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Enterprise Agent,Glean,Enterprise Agent,비상장,미국,AI-powered work assistant,"기업용 AI 검색/자동화, $100M+ ARR, $7.2B 기업가치",High
404,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Agent Platform,Salesforce,Agent Platform,상장,미국,The customer company,Agentforce 기반 전사적 자율 에이전트 주도,High
405,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Enterprise AI,ServiceNow,Enterprise AI,상장,미국,Make the world work better,Now Assist AI 기반 워크플로우 자동화 리더,High
406,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,RPA/Agent,UiPath,RPA/Agent,상장,미국,AI-powered automation,"RPA + AI 시장 리더, Gartner Leader 5년 연속",High
407,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,RPA/Agent,Automation Anywhere,RPA/Agent,비상장,미국,Intelligent automation for all,"클라우드 네이티브 RPA + AI, AWS GenAI 인증",High
408,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Enterprise AI,C3.ai,Enterprise AI,상장,미국,Enterprise AI applications,"산업용 프리빌트 AI 앱, $98.8M 분기 매출",Medium
409,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Enterprise AI,Writer,Enterprise AI,비상장,미국,Full-stack generative AI for enterprises,"엔터프라이즈 생성형 AI, Palmyra LLM, $1.9B 기업가치",High
410,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Enterprise AI,Veritone,Enterprise AI,상장,미국,Enterprise AI orchestration,aiWare OS 기반 엔터프라이즈 AI 오케스트레이션,Low
411,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,Process Mining,Celonis,Process Mining,비상장,독일,Process intelligence for business transformation,"프로세스 마이닝 카테고리 리더, 1,400+ 기업, $13B",High
412,G. Enterprise AI Applications,G1. Enterprise AI & Workflow,IDP,ABBYY,IDP,비상장,미국,Intelligent document processing,"글로벌 IDP 리더, ML 문서 분류/추출",High
413,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Enterprise Conv,Kore.ai,Enterprise Conv,비상장,미국,AI-first customer and employee experiences,"Gartner MQ Leader, MS 파트너, 400+ 기업, $150M 유치",High
414,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Contact Center,Cognigy,Contact Center,비상장,독일,Enterprise conversational AI platform,"엔터프라이즈 다국어 컨택센터 AI, Gartner MQ Leader",High
415,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Enterprise Voice,Parloa,Enterprise Voice,비상장,독일,AI agent management platform,"$350M Series D, 유럽 최대 대화형 AI 라운드",High
416,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Omnichannel,Yellow.ai,Omnichannel,비상장,미국/인도,Dynamic automation platform,"135+ 언어, 드래그앤드롭, $1B+ 기업가치",Medium
417,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,CX AI,Ada,CX AI,비상장,캐나다,AI-powered customer service automation,"AI CX 자동화, $190M 유치, Tiger/Accel 투자",Medium
418,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,CX Analytics,Observe.AI,CX Analytics,비상장,미국,Conversational intelligence for contact centers,컨택센터 AI 분석 및 에이전트 어시스턴트,Medium
419,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,CX AI,Uniphore,CX AI,비상장,미국/인도,Conversational AI and automation,"대화형 AI 및 고객 경험 자동화 플랫폼, $2.5B",Medium
420,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Conv AI Builder,Voiceflow,Conv AI Builder,비상장,캐나다,Build AI agents collaboratively,"대화형 에이전트 구축 협업 플랫폼, $35M+ 유치",Medium
421,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,Conv AI,OneReach.ai,Conv AI,비상장,미국,Bring your own model AI agents,"BYOM AI 에이전트 플랫폼, 엔터프라이즈 대상",Low
422,G. Enterprise AI Applications,G2. Conversational AI & Voice Platform,CX Agent,Intercom,CX Agent,비상장,미국,Customer service platform with AI,Fin AI 에이전트 기반 고객 서비스 플랫폼,High
423,G. Enterprise AI Applications,G3. AI Productivity & Collaboration,AI Writing,Jasper AI,AI Writing,비상장,미국,AI-powered enterprise marketing platform,"엔터프라이즈 마케팅 AI, 50+ 템플릿, $1.5B 기업가치",High
